CaseOrder,Outage_sec_perweek,Yearly_equip_failure,InternetService,Bandwidth_GB_Year,Population,Area,Tenure
2028,9.596264,2,DSL,1349.319824,21556,Rural,3.843142
2029,10.95793,1,Fiber Optic,1731.015044,1448,Rural,11.38469
2030,14.54552,0,DSL,1421.45141,30125,Rural,7.178731
2031,8.591792,0,Fiber Optic,782.5670721,36184,Urban,3.434965
2032,5.837482,0,DSL,1399.828665,7751,Suburban,11.93639
2033,6.146665,2,Fiber Optic,411.9057225,31990,Rural,2.155733
2034,8.904816,0,Fiber Optic,733.0007061,9986,Suburban,4.600655
2035,8.965014,0,DSL,1669.828557,7676,Suburban,7.376158
2036,8.360793,0,None,939.7724617,24974,Urban,4.573172
2037,12.32574,1,DSL,1388.550492,16405,Urban,7.231407
2038,10.62793,0,None,1501.582551,786,Urban,9.84106
2039,8.215309,0,None,717.4865643,2544,Suburban,6.204958
2040,9.117724,0,Fiber Optic,1172.296779,9583,Urban,8.962444
2041,10.83199,0,Fiber Optic,2309.357899,29539,Suburban,23.24675
2042,13.33801,1,Fiber Optic,783.3606694,2145,Urban,8.716735
2043,11.02404,0,Fiber Optic,1757.837077,3160,Urban,11.71454
2044,7.365321,1,DSL,884.8222735,25827,Urban,3.08799
2045,9.485065,1,Fiber Optic,845.0925039,68,Suburban,2.051002
2046,8.256042,1,Fiber Optic,2341.106117,195,Rural,25.17478
2047,11.47946,0,Fiber Optic,2077.919709,30556,Urban,19.50558
2048,11.81668,2,DSL,1350.573202,54829,Rural,6.645141
2049,12.20892,1,DSL,1297.061633,26729,Suburban,7.793232
2050,10.73901,0,Fiber Optic,1670.352435,14267,Rural,13.37596
2051,16.47207,0,DSL,1680.552794,11941,Suburban,11.5352
2052,9.50503,0,Fiber Optic,892.5309234,3718,Rural,6.025694
2053,12.13919,1,DSL,1187.716662,10424,Suburban,2.051657
2054,10.40481,0,None,980.4160232,203,Rural,8.082833
2055,8.98954,0,Fiber Optic,500.6893216,27981,Urban,2.654262
2056,7.872117,1,None,626.494018,1460,Rural,2.104985
2057,9.056277,0,DSL,2130.220399,399,Urban,16.59389
2058,10.65375,0,None,3022.776148,8565,Urban,31.32024
2059,5.006946,1,None,1784.938558,22609,Urban,21.03542
2060,12.89594,0,DSL,1206.219227,458,Suburban,3.465896
2061,9.127013,0,DSL,2193.26463,171,Rural,12.4962
2062,10.76672,0,Fiber Optic,1554.801608,43116,Urban,13.63369
2063,6.855385,0,DSL,1485.647596,25723,Suburban,11.75027
2064,10.44859,0,None,1400.209666,5020,Suburban,10.32943
2065,13.16243,0,Fiber Optic,1187.710162,36172,Rural,8.333131
2066,11.49389,1,DSL,1968.75769,1225,Rural,9.602383
2067,10.41256,0,Fiber Optic,2146.833629,758,Suburban,22.37984
2068,8.197798,0,Fiber Optic,1172.004801,2097,Rural,9.061231
2069,8.202699,1,Fiber Optic,561.6005724,1894,Suburban,2.402087
2070,11.07391,1,DSL,1918.333346,924,Rural,12.85483
2071,11.70709,0,None,1045.733553,1179,Rural,5.430488
2072,8.478086,0,Fiber Optic,592.6545248,4027,Suburban,5.26792
2073,11.58551,0,Fiber Optic,965.3809411,6257,Suburban,6.799748
2074,15.14143,0,Fiber Optic,967.4628508,213,Rural,8.954573
2075,9.1274,0,DSL,843.6406855,44139,Urban,2.499923
2076,8.489595,0,Fiber Optic,1315.312803,4085,Urban,8.084289
2077,13.10202,0,None,832.638565,1111,Rural,7.978289
2078,4.407474,1,Fiber Optic,1671.56323,212,Rural,11.61721
2079,11.50735,1,None,2405.424259,11702,Suburban,26.27061
2080,9.548649,0,Fiber Optic,1366.505082,39234,Urban,9.881597
2081,10.82715,1,DSL,1345.940597,44455,Suburban,4.969544
2082,12.10717,1,Fiber Optic,1415.406657,1480,Urban,14.86711
2083,7.598834,0,None,1558.262612,189,Rural,12.47887
2084,14.83322,1,Fiber Optic,531.0770713,7023,Rural,2.958575
2085,11.68917,2,DSL,1557.295826,31194,Suburban,9.955486
2086,13.27431,1,DSL,2160.951234,1772,Rural,17.08264
2088,2.017746,0,DSL,1583.398883,298,Rural,9.832835
2089,4.271704,0,Fiber Optic,1010.521133,17274,Urban,3.737401
2090,7.706983,1,DSL,1085.979242,364,Rural,4.791566
2091,11.24791,1,Fiber Optic,2261.179586,4633,Suburban,22.04122
2092,12.9485,1,DSL,1128.042592,2363,Rural,6.86392
2093,9.800684,1,Fiber Optic,768.3006696,6,Rural,5.855847
2094,11.382,0,None,978.3026986,35465,Suburban,3.744207
2095,9.080608,2,DSL,1572.631084,2997,Suburban,7.809364
2096,10.74621,0,Fiber Optic,2978.208092,3826,Rural,30.1778
2097,10.7843,1,DSL,1478.422099,12153,Urban,5.66162
2098,14.23673,0,DSL,2050.942844,17696,Rural,11.50316
2099,9.977086,0,Fiber Optic,1280.44084,4052,Rural,6.818283
2100,13.37836,0,DSL,1679.924727,2846,Rural,10.48149
2101,9.711712,0,Fiber Optic,773.1752584,16791,Rural,5.459489
2102,15.13968,0,None,845.9832801,42116,Rural,6.363764
2103,8.92305,0,None,1337.343299,2023,Suburban,12.03582
2104,11.39908,0,DSL,1522.482247,20234,Suburban,11.07943
2105,15.04815,0,Fiber Optic,1571.238893,1455,Suburban,13.0511
2106,12.38804,0,Fiber Optic,1943.652184,46675,Rural,18.381
2107,9.25069,0,DSL,1464.845197,26,Rural,11.87278
2108,5.432771,0,None,1178.372362,16902,Suburban,8.182907
2109,7.228889,0,None,978.9249944,10012,Rural,6.765777
2110,13.2422,1,DSL,1821.920781,2028,Rural,12.31839
2111,9.493989,0,DSL,1366.649837,523,Urban,5.173292
2112,5.512588,0,Fiber Optic,912.4311552,6551,Suburban,6.23273
2113,9.767021,2,Fiber Optic,995.5630984,417,Suburban,4.252913
2114,5.985983,0,None,1794.594938,8409,Suburban,10.99952
2115,10.72873,0,None,1016.19707,1288,Suburban,7.831744
2116,17.82109,0,None,1231.728594,4125,Rural,8.944195
2117,8.173993,0,Fiber Optic,2426.091797,29360,Urban,19.72758
2118,2.902962,0,None,1106.910603,1906,Suburban,5.003409
2119,11.13286,1,DSL,1840.767702,3316,Rural,11.53174
2120,8.762474,0,Fiber Optic,1838.646452,26656,Suburban,14.29414
2121,8.055983,2,Fiber Optic,2461.030222,15848,Urban,28.28911
2122,11.47448,0,DSL,2679.775265,2146,Suburban,27.98865
2123,12.53895,1,Fiber Optic,1875.199655,388,Urban,15.2109
2124,11.38954,0,DSL,575.972228,21801,Suburban,1.577215
2125,7.401544,0,Fiber Optic,1661.330631,40290,Urban,16.85088
2126,13.09285,0,Fiber Optic,1770.955679,5694,Suburban,16.6564
2127,7.706837,0,DSL,2019.213435,118,Suburban,8.275832
2128,8.568928,1,Fiber Optic,568.2599017,98,Suburban,1.789614
2129,11.4707,1,Fiber Optic,1039.286045,3076,Rural,5.943865
2130,12.54175,0,Fiber Optic,1452.597026,1693,Urban,11.4255
2131,9.521566,1,Fiber Optic,3232.873635,915,Urban,29.35795
2132,13.1638,1,DSL,1121.849069,7862,Suburban,3.543665
2133,11.78195,0,Fiber Optic,713.7053321,1074,Urban,1.75453
2134,9.011534,0,DSL,2472.105638,2817,Suburban,19.87069
2135,6.210987,1,None,1639.666431,37122,Rural,9.637159
2136,7.576687,0,Fiber Optic,1417.62647,418,Urban,7.658218
2137,8.398662,0,Fiber Optic,809.8918631,30762,Urban,2.465822
2138,8.494806,0,Fiber Optic,1117.452708,2578,Rural,8.353798
2139,12.46389,0,Fiber Optic,1428.317482,50137,Rural,9.37017
2140,15.98748,0,None,545.9811422,237,Rural,3.362461
2141,9.543086,0,DSL,1566.320356,4651,Rural,8.394454
2142,3.866889,0,DSL,688.0396207,993,Rural,2.432366
2143,5.57797,0,None,694.3512691,23402,Urban,4.044068
2144,8.386358,0,Fiber Optic,1179.636227,2191,Urban,13.17391
2145,14.93471,0,Fiber Optic,840.8676674,42,Rural,1.375567
2146,13.19778,2,DSL,3276.40737,388,Urban,24.34252
2147,14.58236,0,DSL,1408.898779,2304,Suburban,2.301376
2148,10.01972,0,DSL,1923.285458,1136,Urban,16.64818
2149,8.245298,1,DSL,1113.404715,3697,Rural,4.564096
2150,14.78858,0,DSL,1326.549878,1583,Rural,5.29727
2151,7.841697,0,DSL,1362.860416,8304,Urban,5.099454
2152,8.992821,1,Fiber Optic,685.3879681,1347,Urban,6.03955
2153,17.03765,1,DSL,982.9569892,38787,Suburban,4.749684
2154,8.376945,0,Fiber Optic,1871.706612,29015,Rural,21.61867
2155,13.3061,0,Fiber Optic,2196.073405,2067,Suburban,15.51194
2157,6.618072,0,Fiber Optic,1094.644005,25052,Rural,8.66647
2158,10.61107,0,Fiber Optic,840.6246629,2562,Rural,2.748652
2159,5.574893,0,Fiber Optic,753.4677251,4705,Urban,2.830635
2160,10.29493,0,DSL,1179.381802,2680,Rural,5.423869
2161,8.805561,0,DSL,2028.886621,43881,Suburban,12.09638
2162,13.65356,1,DSL,1133.237154,27541,Suburban,7.117565
2163,12.10685,1,Fiber Optic,727.0646246,1271,Urban,6.575242
2164,13.35871,0,Fiber Optic,1539.085061,54621,Rural,9.951059
2165,13.22236,0,Fiber Optic,1291.871722,109,Suburban,7.890163
2166,10.7445,0,None,394.202773,3866,Suburban,1.230987
2167,6.488715,1,DSL,1328.483312,658,Suburban,1.650984
2168,14.3374,1,DSL,1249.287563,20176,Suburban,5.237873
2169,14.15632,1,Fiber Optic,1693.253857,10951,Rural,17.13556
2170,16.57893,1,DSL,883.6816755,1712,Suburban,3.708394
2171,6.212355,0,None,1146.224262,6571,Suburban,5.582839
2172,9.330391,0,None,1806.59355,18828,Suburban,16.02992
2173,8.615047,2,DSL,1173.915894,2469,Urban,3.523461
2174,12.02949,1,None,965.7588051,484,Urban,7.535729
2175,12.47818,1,None,1175.631327,790,Urban,9.759887
2176,6.751421,1,None,2744.394944,35349,Suburban,30.7698
2177,11.98767,1,DSL,1980.207923,4868,Urban,12.43721
2178,9.452414,1,None,1344.476361,99,Urban,6.739405
2179,13.7331,0,Fiber Optic,762.0564475,2820,Urban,3.383778
2180,6.098505,1,Fiber Optic,945.5166208,257,Rural,4.632153
2181,8.976742,0,Fiber Optic,516.253628,676,Urban,1.900671
2182,13.47294,0,None,1197.913731,327,Rural,6.074592
2183,12.66401,1,Fiber Optic,1321.951163,3755,Suburban,16.04075
2184,11.14827,0,Fiber Optic,1988.072662,24871,Urban,21.58352
2185,15.51053,1,Fiber Optic,1341.803325,2382,Suburban,10.46977
2186,11.8295,0,DSL,1835.301769,5060,Urban,11.00764
2187,11.69911,0,DSL,2484.205678,11761,Urban,17.55138
2188,14.23604,0,DSL,1515.545459,3001,Urban,7.675218
2189,9.462635,0,DSL,1641.698648,1557,Suburban,8.907101
2190,10.45334,0,Fiber Optic,827.7165459,398,Urban,4.275019
2191,8.692293,1,DSL,786.6024394,13245,Suburban,4.836004
2192,10.34418,0,DSL,1245.2646,24682,Suburban,7.109947
2193,10.99266,2,DSL,2197.871959,6,Urban,17.98438
2194,9.512708,0,DSL,1263.539898,51045,Rural,2.918826
2196,9.096999,1,Fiber Optic,482.1944216,121,Suburban,2.201845
2197,12.69755,0,DSL,985.5470101,18029,Rural,4.418468
2198,16.89285,0,None,746.7953574,138,Urban,4.798977
2199,16.79023,0,Fiber Optic,2031.234186,2013,Rural,14.1687
2200,8.440102,1,DSL,1075.114258,5407,Urban,4.927273
2201,9.418504,0,DSL,1469.569398,6572,Rural,10.7285
2202,5.081352,1,Fiber Optic,558.7166007,41468,Rural,4.028152
2203,11.03899,0,DSL,3121.880615,266,Rural,26.74209
2204,12.77923,0,DSL,1244.250467,18208,Suburban,4.029419
2205,9.061046,0,DSL,2766.730566,627,Rural,19.68549
2206,12.90631,1,Fiber Optic,841.3922748,3587,Suburban,6.17382
2207,10.30058,1,Fiber Optic,411.6028202,782,Suburban,3.990716
2208,9.867501,0,None,1495.042007,1006,Suburban,11.90634
2209,13.05828,0,Fiber Optic,1449.160419,1330,Suburban,7.394788
2210,15.39099,0,DSL,869.1995017,391,Suburban,1.445549
2211,5.946073,0,Fiber Optic,737.6363933,6409,Urban,8.696181
2212,10.54611,0,Fiber Optic,919.5165157,81789,Urban,6.840972
2213,9.965158,0,None,2021.193572,13553,Rural,20.43585
2214,9.078682,1,None,885.2339594,960,Suburban,2.707119
2215,10.27753,0,DSL,1106.403216,7901,Rural,6.280617
2216,8.051613,0,Fiber Optic,931.3751448,6140,Urban,7.458443
2217,10.03504,0,DSL,1463.186559,37358,Urban,4.465592
2218,13.12078,0,None,1385.435891,42161,Urban,12.63822
2219,7.144377,0,Fiber Optic,1515.763354,617,Rural,13.14986
2220,13.23481,0,DSL,3298.322775,2709,Rural,25.69631
2221,7.548639,0,Fiber Optic,634.9659165,21888,Suburban,3.089663
2222,9.182092,0,Fiber Optic,610.2392527,22939,Suburban,7.94384
2223,10.72004,0,DSL,1606.689609,5555,Suburban,13.31739
2224,11.48171,2,DSL,1792.965757,9470,Suburban,10.57654
2225,9.320336,0,DSL,1772.190486,678,Rural,10.37052
2226,2.096375,0,DSL,889.8305751,17666,Urban,3.478065
2227,9.195938,0,DSL,1685.196727,3831,Rural,10.36313
2228,17.80133,1,Fiber Optic,1620.308367,22187,Urban,10.269
2229,8.466816,0,None,1297.915797,9025,Suburban,9.526371
2230,11.11393,0,DSL,1776.755229,34237,Suburban,10.39421
2231,11.18965,2,DSL,1683.120743,119,Rural,10.32825
2232,15.47441,1,Fiber Optic,1946.937264,73,Suburban,13.85765
2233,7.201032,0,DSL,1230.940963,5456,Urban,4.338536
2234,12.099,0,None,1013.266498,485,Urban,8.492867
2235,5.908518,1,DSL,1164.574248,17644,Rural,2.649474
2236,7.390473,0,Fiber Optic,2157.669912,2421,Rural,18.5303
2237,14.7789,2,DSL,1450.54664,6050,Urban,4.970731
2238,8.727294,1,Fiber Optic,249.3579815,385,Urban,2.493434
2239,12.92213,0,Fiber Optic,2351.365618,222,Rural,25.26752
2240,11.57569,2,None,590.380115,1330,Rural,3.020801
2241,11.3061,0,Fiber Optic,782.6217803,2246,Urban,4.905018
2242,10.44399,0,Fiber Optic,276.5777606,867,Suburban,1.198203
2243,7.739305,0,Fiber Optic,634.6246024,68,Urban,1.366478
2244,10.66234,1,DSL,1653.756383,13535,Suburban,8.492902
2245,11.16641,0,DSL,993.5285482,123,Urban,5.26283
2246,5.521606,0,DSL,1228.5527,16019,Urban,2.734669
2247,10.8684,1,None,1151.972963,6976,Suburban,7.533801
2248,10.52082,1,None,1401.33731,35373,Urban,12.02081
2249,13.64856,1,DSL,1236.080387,1020,Rural,2.548892
2250,10.50011,0,DSL,971.0579616,2164,Rural,3.459881
2251,19.50058,0,Fiber Optic,745.4775132,3211,Rural,4.674085
2252,11.51957,0,Fiber Optic,2588.510628,470,Urban,27.73225
2253,7.126864,0,DSL,2128.992056,7134,Urban,15.13792
2254,10.3617,0,DSL,906.5332012,885,Suburban,3.374565
2255,17.24567,1,Fiber Optic,797.3327965,19980,Urban,6.791156
2256,8.163008,0,DSL,744.427424,39065,Rural,1.703799
2257,7.309462,0,None,534.4791223,5706,Urban,5.229738
2258,8.742106,0,Fiber Optic,1004.770111,5090,Rural,1.4946
2259,10.92378,0,None,1398.226038,13649,Suburban,12.51454
2260,15.30999,0,Fiber Optic,1303.045672,2439,Rural,12.85929
2261,11.10706,0,Fiber Optic,1388.786045,16659,Urban,12.72079
2263,8.003539,0,Fiber Optic,2261.0457,9489,Rural,19.98033
2264,12.1254,0,Fiber Optic,1453.840704,7284,Urban,11.53977
2265,6.966168,0,None,626.8266819,3649,Urban,4.719731
2266,15.50087,0,Fiber Optic,1658.673224,947,Suburban,10.77918
2267,7.569971,0,Fiber Optic,1345.843812,8851,Urban,7.667371
2268,9.71297,1,Fiber Optic,2914.993204,15142,Urban,25.32558
2269,18.31879,0,DSL,2674.664142,21681,Rural,16.30451
2271,9.086285,0,None,1237.129631,33,Suburban,7.944389
2272,11.55219,0,DSL,1002.753144,4465,Rural,2.977062
2273,13.49337,0,DSL,1588.073926,39273,Urban,6.403857
2274,8.740627,3,Fiber Optic,2018.432674,2759,Urban,15.88923
2275,9.462517,0,DSL,1586.408716,72332,Rural,10.91296
2276,9.331181,1,DSL,2657.509636,573,Rural,16.16886
2277,10.60544,1,None,785.7678294,725,Rural,6.542299
2278,5.306158,0,DSL,1966.502807,901,Urban,17.66747
2279,12.9755,0,Fiber Optic,843.9673513,434,Urban,5.63873
2280,9.708487,0,Fiber Optic,1067.709253,1496,Rural,9.307673
2281,14.67669,1,Fiber Optic,921.6285886,47227,Urban,4.582941
2282,6.924593,0,Fiber Optic,1177.660151,996,Suburban,7.755991
2283,9.660222,1,Fiber Optic,1067.650921,40860,Rural,9.557096
2284,5.711911,1,Fiber Optic,570.5832494,124,Urban,5.219974
2285,10.38533,0,Fiber Optic,1791.953298,8854,Rural,18.13802
2286,10.43098,0,Fiber Optic,1151.849425,630,Urban,3.935134
2287,10.74227,0,None,1217.367061,566,Suburban,9.049865
2288,8.941573,0,DSL,1465.141784,5929,Suburban,5.596602
2289,9.877819,0,DSL,841.0151958,4642,Rural,3.908371
2290,12.62231,0,DSL,949.5030179,3011,Suburban,1.739449
2291,12.51589,1,Fiber Optic,968.2908707,10,Rural,6.002744
2292,5.255272,0,Fiber Optic,2471.127552,1012,Urban,24.42176
2293,11.56658,0,Fiber Optic,499.7241703,184,Suburban,3.197618
2294,9.35093,0,None,553.4713761,360,Suburban,3.180149
2295,5.050186,0,DSL,1403.290023,49350,Rural,6.981941
2296,17.74402,0,DSL,2230.867361,314,Rural,14.7857
2297,13.68251,0,DSL,1511.485403,55222,Urban,9.361841
2298,11.95606,0,Fiber Optic,1403.556394,44740,Urban,8.079294
2299,6.139202,0,Fiber Optic,1523.207235,4175,Urban,9.487121
2300,11.6577,0,None,641.192229,2656,Urban,7.409149
2301,10.25643,0,Fiber Optic,655.4787829,562,Suburban,5.111421
2302,11.96338,0,DSL,1550.381641,2710,Suburban,4.770815
2303,9.299708,0,Fiber Optic,479.1497047,9400,Rural,2.65459
2304,9.962708,1,DSL,2259.182707,570,Urban,13.71891
2305,7.96371,1,Fiber Optic,1444.696816,13587,Suburban,12.69435
2306,5.566561,0,None,842.4625146,5157,Urban,6.324505
2307,7.473832,1,DSL,1844.034359,47791,Urban,14.80965
2308,11.2307,1,DSL,2020.782911,21952,Urban,13.8206
2309,9.700795,0,DSL,1147.794876,40820,Rural,2.130946
2310,13.04796,0,Fiber Optic,635.2980162,2000,Urban,5.885148
2311,11.12455,2,None,1642.269113,72592,Suburban,12.77209
2312,7.711119,1,None,560.0748491,405,Urban,3.112447
2313,8.06957,0,DSL,1799.882577,7531,Rural,6.816014
2314,4.131287,1,DSL,1515.049953,16644,Urban,7.367806
2315,9.257301,0,Fiber Optic,2300.741445,20501,Rural,21.08084
2316,9.73327,0,Fiber Optic,1201.308416,1274,Urban,13.15232
2317,8.719019,0,DSL,792.7917972,34119,Urban,1.270546
2318,5.353483,0,DSL,2281.384323,6543,Rural,16.56118
2319,8.008225,0,None,1749.384846,22795,Rural,12.21802
2320,5.099569,0,None,767.624909,10189,Suburban,6.137692
2321,10.37097,1,Fiber Optic,1557.64411,5950,Urban,12.82428
2322,7.828963,1,None,1065.848768,1346,Urban,7.458099
2323,9.527541,1,Fiber Optic,295.9085258,420,Rural,1.397042
2324,7.908108,0,DSL,2446.187988,1090,Suburban,14.98386
2325,13.19755,1,DSL,2006.106282,38932,Rural,19.75809
2326,10.17344,1,None,1498.47689,16080,Urban,12.27217
2327,7.160613,0,DSL,1903.763394,392,Suburban,9.23286
2328,9.267577,1,None,739.280489,3479,Urban,2.497434
2329,11.3134,0,None,1883.901145,254,Suburban,15.91251
2330,7.09874,0,DSL,1190.326671,1526,Rural,4.527648
2331,10.02228,0,DSL,837.2390946,7064,Suburban,3.99954
2332,13.6576,0,Fiber Optic,1158.223413,17248,Urban,8.133191
2333,7.614454,0,DSL,1760.757293,12389,Suburban,8.970035
2334,10.12576,1,DSL,711.8524934,1070,Rural,1.589535
2335,11.57698,0,DSL,1475.953048,7786,Urban,7.88215
2336,4.06907,3,Fiber Optic,829.6494763,450,Rural,4.244854
2337,14.56169,0,Fiber Optic,1904.888901,2950,Urban,18.65137
2338,16.22817,0,None,517.7918192,404,Urban,3.399281
2339,10.0764,0,None,1183.953112,9489,Urban,9.594746
2340,10.2213,1,Fiber Optic,465.629346,189,Rural,3.199682
2341,13.5599,0,Fiber Optic,1389.232023,59,Urban,13.24052
2342,11.98918,1,None,984.1544122,671,Suburban,9.584536
2343,9.409715,0,Fiber Optic,731.9309009,51706,Suburban,1.135161
2344,16.88379,0,None,1040.201495,12,Suburban,1.835282
2345,14.06327,0,Fiber Optic,1686.444218,1425,Urban,14.76538
2346,9.270527,0,Fiber Optic,1646.32071,2479,Suburban,14.95975
2347,12.80286,1,Fiber Optic,1181.038508,3499,Rural,8.487326
2348,11.17461,1,DSL,2148.657258,2423,Suburban,16.25256
2349,8.4836,0,DSL,2221.185633,1756,Urban,17.4028
2350,13.99538,0,Fiber Optic,995.3738841,40,Rural,5.850283
2351,4.528985,0,DSL,2441.738277,4160,Suburban,20.43277
2352,5.147124,0,DSL,1151.98874,853,Suburban,2.763224
2353,12.80754,0,Fiber Optic,2212.360308,1338,Urban,15.73243
2354,9.204904,0,DSL,822.7908952,57,Rural,1.482474
2355,11.63888,0,Fiber Optic,419.4107069,3757,Suburban,3.437502
2356,11.24506,0,DSL,2089.469335,4518,Urban,17.20502
2357,9.326198,0,None,880.6292606,1090,Suburban,8.327722
2358,15.65819,1,Fiber Optic,488.6462667,24694,Suburban,2.225465
2359,11.98003,0,Fiber Optic,612.0541917,22734,Suburban,2.477945
2360,3.978796,1,None,1149.144476,17242,Suburban,9.25848
2361,10.80628,0,Fiber Optic,1982.143037,239,Rural,20.14176
2362,10.22095,1,Fiber Optic,1317.291468,146,Suburban,11.14615
2363,7.732668,0,Fiber Optic,315.1395676,3410,Urban,1.5183
2364,10.45028,0,DSL,2031.533699,12404,Suburban,14.80365
2365,11.913,0,None,639.7154381,3374,Urban,2.734057
2366,12.46778,0,None,1473.485303,41053,Suburban,10.17576
2367,6.933869,1,DSL,950.7410569,11294,Urban,1.582585
2368,11.58268,0,Fiber Optic,1542.3033,3929,Urban,9.38329
2369,10.40504,1,Fiber Optic,1446.937317,2370,Rural,10.85537
2370,10.51146,1,DSL,1553.818731,1181,Suburban,7.400769
2371,6.063243,0,DSL,1184.335827,946,Rural,6.84336
2372,15.92158,0,Fiber Optic,1045.435988,271,Rural,3.290431
2373,11.31675,1,Fiber Optic,1493.681751,23373,Rural,14.59541
2374,11.07048,0,DSL,1531.239282,1685,Suburban,8.882682
2375,10.68049,3,DSL,2698.307074,336,Rural,23.16242
2376,15.77718,0,Fiber Optic,325.5857485,379,Urban,2.590677
2377,15.33257,0,None,867.3610228,830,Suburban,5.59356
2378,15.85825,0,DSL,1853.873709,257,Rural,9.933523
2379,13.56065,0,DSL,812.2973605,27525,Rural,2.992589
2380,9.395636,0,Fiber Optic,1939.097667,31056,Urban,19.57075
2381,13.96002,0,None,1617.794287,22225,Urban,16.68618
2382,8.929747,0,DSL,1253.992994,100,Suburban,7.749595
2383,10.55112,2,Fiber Optic,1103.759867,1474,Urban,9.713544
2384,9.566251,0,None,896.304005,4283,Suburban,9.288851
2385,8.082,0,DSL,1813.71251,29061,Rural,14.21143
2386,14.67215,0,DSL,1757.468385,8469,Rural,12.26499
2387,12.20597,0,Fiber Optic,293.0174607,323,Urban,2.096411
2388,10.77215,1,Fiber Optic,1849.738644,1268,Rural,14.76922
2389,9.39907,1,DSL,1262.469988,103,Rural,9.388962
2390,8.079021,0,Fiber Optic,598.858359,24628,Urban,2.061636
2391,9.40182,0,Fiber Optic,490.2102038,1856,Urban,2.687062
2392,9.726798,0,Fiber Optic,881.9915619,37056,Suburban,1.854011
2393,7.690569,0,DSL,988.8476688,15062,Suburban,6.233177
2394,14.36615,2,DSL,2257.255977,426,Suburban,11.36938
2395,7.663075,0,DSL,1400.182241,42116,Rural,5.533288
2396,10.4255,0,DSL,1923.446501,1330,Urban,10.18679
2397,10.18198,0,None,1140.769093,1875,Urban,5.857544
2398,10.22727,0,Fiber Optic,815.588724,1197,Rural,4.348554
2399,6.152569,0,DSL,1432.922873,24,Rural,5.494536
2400,14.61583,0,Fiber Optic,1279.70353,16812,Suburban,15.07508
2401,9.807188,1,Fiber Optic,970.6301192,36062,Urban,4.235635
2402,3.985414,1,DSL,1058.643568,161,Rural,4.323297
2403,8.729509,0,DSL,1110.224942,94512,Urban,5.792794
2404,10.9733,0,None,969.0951508,2423,Urban,3.919919
2405,10.31976,1,Fiber Optic,1427.811261,589,Suburban,13.67733
2406,8.783413,1,Fiber Optic,571.8948363,2596,Rural,1.813049
2407,7.403382,0,Fiber Optic,718.2708269,1257,Rural,4.867834
2408,6.51399,1,None,2000.801151,3968,Suburban,17.76511
2409,11.45158,0,None,1649.813925,13768,Suburban,19.14395
2410,9.461247,1,DSL,2147.084163,195,Urban,15.41637
2411,6.214679,1,DSL,1790.477112,722,Suburban,3.978662
2412,8.608975,0,DSL,1361.469601,2348,Suburban,6.452058
2413,10.31889,1,None,1436.441637,4301,Rural,10.55177
2414,6.566599,0,DSL,1702.870167,76819,Urban,13.87203
2415,12.06638,0,Fiber Optic,1868.995632,2981,Urban,15.98627
2416,7.11372,0,None,839.5696843,32653,Urban,8.440774
2417,10.31167,0,None,878.7758477,2678,Suburban,5.706255
2418,7.709204,0,Fiber Optic,1687.100467,33380,Urban,11.63009
2419,9.942905,0,DSL,1352.42705,5748,Urban,6.364903
2420,4.266815,0,None,1076.021746,9635,Rural,9.119628
2421,11.07111,1,Fiber Optic,1064.163449,159,Rural,10.55912
2422,10.23565,0,Fiber Optic,1505.877788,43,Urban,11.11794
2423,10.62896,0,DSL,1444.44469,4251,Urban,2.96972
2424,15.21772,0,Fiber Optic,916.275075,762,Urban,6.617173
2425,9.134223,2,DSL,963.6972905,30922,Suburban,3.664542
2426,9.346821,0,DSL,2353.047822,2681,Suburban,14.10183
2427,12.94729,0,Fiber Optic,1038.379263,4998,Urban,13.20294
2429,7.352338,0,DSL,2168.702608,58,Urban,15.07394
2430,9.520453,1,Fiber Optic,2023.901526,6213,Rural,20.5514
2431,11.16575,0,DSL,964.1421939,3108,Rural,1.704751
2432,14.77223,0,DSL,1606.733876,24304,Urban,11.13625
2433,12.13147,0,DSL,1163.473611,58123,Urban,5.802984
2434,6.35624,1,DSL,1559.056164,4719,Rural,7.948145
2435,11.07762,1,Fiber Optic,1338.084542,778,Urban,12.0068
2436,9.871425,0,DSL,2643.645671,2345,Suburban,20.22191
2437,9.358906,0,Fiber Optic,552.2795704,333,Suburban,1.932155
2438,13.13329,0,None,2336.999053,124,Rural,19.93923
2439,8.546853,0,DSL,1077.685443,13216,Suburban,5.620998
2440,8.71185,0,Fiber Optic,918.6663119,1755,Urban,6.446079
2441,9.355553,0,Fiber Optic,1227.405249,578,Urban,7.633753
2442,11.4017,0,None,886.9671382,364,Urban,6.582225
2443,10.48505,0,DSL,1585.087297,6082,Suburban,2.420905
2444,13.83841,1,DSL,1328.874126,770,Urban,2.608423
2445,10.43682,0,DSL,1792.520072,6428,Suburban,9.248419
2446,10.39103,0,Fiber Optic,462.2211376,29903,Rural,1.652127
2447,13.52535,0,DSL,1244.139414,1080,Rural,2.077466
2448,10.10656,0,Fiber Optic,2215.644479,18216,Urban,19.06753
2449,9.945653,0,DSL,1009.028786,590,Suburban,2.12851
2450,12.36189,0,Fiber Optic,1382.061516,216,Rural,13.46686
2451,9.31867,1,None,505.1435902,15657,Urban,1.805094
2452,9.649624,0,None,1391.330245,626,Urban,5.886238
